SITE_NAME,ADDRESS,POSTCODE,SECTOR,SUB_TYPE,RELIGION,NURSERY,ANNEXE,COMM_ED_AR,CF_AREA,WARD_NAME,WARD_NO,SIP_AREA,LDC_AREA,SEED_NO,TELEPHONE,FAX_NUMBER,WEBSITE,X_COORD,Y_COORD
Clermiston Primary School,"18 Parkgrove Place , Edinburgh",EH4 7NP,Primary,ND Primary,ND,YES,,N/A,West,Drum Brae/Gyle,3,N/A,West,5522021,336 3361,538 7251,www.clermiston.edin.sch.uk,319460,674870
Clovenstone Primary School,"54 Clovenstone Park , Edinburgh",EH14 3EY,Primary,ND Primary,ND,YES,,N/A,South West,Pentland Hills,2,Wester Hailes,Pentlands,5532027,453 4242,453 2598,www.clovenstone.edin.sch.uk,320460,669430
Colinton Primary School,"Redford Place, Edinburgh",EH13 0AL,Primary,ND Primary,ND,YES,,N/A,South West,Colinton/Fairmilehead,8,N/A,Pentlands,5522129,441 1946,441 4861,www.colinton.edin.sch.uk,322790,669055
Corstorphine Primary School,"62 Corstorphine High Street, Edinburgh",EH12 7SY,Primary,ND Primary,ND,YES,,N/A,West,Corstorphine/Murrayfield,6,N/A,West,5522323,334 3865,538 7274,www.corstorphine.edin.sch.uk,319810,672700
Craigentinny Primary School,"4 Loganlea Drive, Edinburgh",EH7 6LR,Primary,ND Primary,ND,YES,,N/A,North,Craigentinny/Duddingston,14,Restalrig,East,5522420,661 2749,467 7212,none,328642,674708
Craiglockhart Primary School,"90 Ashley Terrace, Edinburgh",EH11 1RG,Primary,ND Primary,ND,YES,,N/A,West,Fountainbridge/Craiglockhart,9,N/A,Central,5522528,337 1407,346 0735,www.craiglockhart.edin.sch.uk,323380,671650
Craigour Park Primary School,"102 Moredun Park Road, Edinburgh",EH17 7HL,Primary,ND Primary,ND,YES,,N/A,South,Liberton/Gilmerton,16,South Edinburgh,South,5520223,664 2154,621 7010,www.craigourpark.edin.sch.uk,329168,669452
Craigroyston Primary School,"7 Muirhouse Place West, Edinburgh",EH4 4PX,Primary,ND Primary,ND,YES,,N/A,North,Forth,4,North Edinburgh,West,5502527,332 2793,315 3971,none,321770,675760
Cramond Primary School,"4 Cramond Crescent, Edinburgh",EH4 6PG,Primary,ND Primary,ND,YES,,N/A,West,Almond,1,N/A,West,5522927,312 6450,312 8710,none,318690,676150
Currie Primary School,"210 Lanark Road West, Currie",EH14 5NN,Primary,ND Primary,ND,YES,,N/A,South West,Pentland Hills,2,N/A,Pentlands,5520320,449 3359,476 7019,www.currie.ik.org,317999,667994
Dalmeny Primary School,"Carlowrie Crescent, Dalmeny, South Queensferry",EH30 9TZ,Primary,ND Primary,ND,YES,,N/A,West,Almond,1,N/A,West,5531527,331 1447,331 1447,www.dalmeny.edin.sch.uk,314387,677235
Dalry Primary School,"4 Cathcart Place, Edinburgh",EH11 2JB,Primary,ND Primary,ND,YES,,N/A,West,Sighthill/Gorgie,7,N/A,Central,5523028,337 6086,337 3798,www.dalry.edin.sch.uk,323710,672790
Davidson's Mains Primary School,"Corbiehill Road, Edinburgh",EH4 5DZ,Primary,ND Primary,ND,YES,,N/A,West,Almond,1,N/A,West,5523125,336 1184,467 7784,www.davidsonsmains.edin.sch.uk,320910,675250
Dean Park Primary School,"31 Marchbank Gardens, Balerno",EH14 7ET,Primary,ND Primary,ND,YES,,N/A,South West,Pentland Hills,2,N/A,Pentlands,5540429,449 4529,449 5990,none,316076,665929
Dean Park Primary School Annexe,"1 Main Street, Balerno",EH14 7EQ,Primary,NDPS Annexe,ND,YES,YES,N/A,South West,Pentland Hills,2,N/A,Pentlands,5540429,449 4529,449 5990,none,316305,666530
Duddingston Primary School,"70a Duddingston Road, Edinburgh",EH15 1SW,Primary,ND Primary,ND,YES,,N/A,East,Craigentinny/Duddingston,14,N/A,East,5523524,669 5092,669 4224,www.duddingston.edin.sch.uk,329430,673340
East Craigs Primary School,"79 Craigmount Brae, Edinburgh",EH12 8XF,Primary,ND Primary,ND,YES,,N/A,West,Drum Brae/Gyle,3,N/A,West,5531225,339 7115,538 7276,www.eastcraigs.edin.sch.uk,318786,673915
