Street,"Premises Address","Permitted Table Area","Permit Start date","Permit End date","Permit Number","Council Ward","Ward Name"
"Grassmarket - Beehive","18/20 Grassmarket","5.9m x 3.0m and 4.6m x 3.0m and 4.3m x 3.0m","Monday, April 01, 2013","Monday, March 31, 2014",352,11,
"Grassmarket - Biddy Mulligans","94-96 Grassmarket","4.0m x 2.0m and 7.0m x 2.0m","Monday, April 01, 2013","Monday, March 31, 2014",24,11,
"Grassmarket - Biddy Mulligans (Central Grass)","94-96 Grassmarket",48m2,"Monday, April 01, 2013","Monday, September 30, 2013",225,11,
"Grassmarket - Caf","10 Grassmarket","4.0m x 2.0m","Monday, April 01, 2013","Monday, March 31, 2014",61,11,
"Grassmarket - Fiddlers Arms","9-11 Grassmarket","2.4m x 2.0m & 1.6m x 2.0m","Wednesday, August 08, 2012","Wednesday, August 07, 2013",166,11,
"Grassmarket - Grassmarket Hotel","94-96 Grassmarket","2.30m x 6.80m","Friday, May 03, 2013","Friday, May 02, 2014",548,11,
"Grassmarket - Maggie Dicksons","92 Grassmarket","5.4m x 2.5m","Monday, April 01, 2013","Monday, March 31, 2014",23,11,
"Grassmarket - Maggie Dicksons (Central Grass)","90 Grassmarket",50m2,"Monday, April 01, 2013","Monday, September 30, 2013",231,11,
"Grassmarket - Maggie Dicksons (Central Grass)","90 Grassmarket",50m2,"Monday, April 01, 2013","Monday, September 30, 2013",231,11,
"Grassmarket - Mammas Pizza Co Ltd","30 Grassmarket","5.6m x 1.8m and 1.0m x 3.0m","Monday, April 01, 2013","Monday, March 31, 2014",44,11,
"Grassmarket - Mammas Pizza Co. Ltd (Grass)","30 Grassmarket",35m2,"Friday, March 15, 2013","Sunday, September 15, 2013",188,11,
"Grassmarket - Petit Paris","38-40 Grassmarket","4.8m x 3.0m & 3.2m x 3.0m","Monday, April 01, 2013","Monday, March 31, 2014",386,11,
"Grassmarket - Ristorante Gennaro","60 & 64 Grassmarket","(60) 2.5m x 1.5m & 2.5m x 1.6m; (64) 2.5m x 2.2m & 2.5m x 2.2m and from October to March- 2.0m x 1.0m for no 64 and 2.0m x 1.0m for no 60","Monday, April 01, 2013","Monday, March 31, 2014",36,11,
"Grassmarket - The Black Bull","12 Grassmarket","3.2m x 2.0m & 3.2m x 2.0m","Monday, April 01, 2013","Monday, March 31, 2014",350,11,
"Grassmarket - The Last Drop","74-78 Grassmarket","4.0m x 2.5m & 4.1m x 3.1m","Monday, April 01, 2013","Monday, March 31, 2014",28,11,
"Grassmarket - The White Hart Inn","34 Grassmarket","6.9m x 3.0m","Monday, April 01, 2013","Monday, March 31, 2014",33,11,
"Grassmarket - The White Hart Inn (Central Grass)","34 Grassmarket",35m2,"Monday, March 18, 2013","Sunday, September 29, 2013",198,11,
"Greenside Place - Caf","22 Greenside Place","2.4m x 2.0m and 2.4m x 2.0m","Thursday, June 20, 2013","Thursday, December 19, 2013",39,11,
"Greenside Place - CC Blooms","23/24 Greenside Place","6.0m x 3.0m","Wednesday, April 10, 2013","Wednesday, October 09, 2013",433,11,
"Greenside Place - Theatre Royal","24-27 Greenside Place","5.75m x 3.0m","Monday, April 01, 2013","Monday, March 31, 2014",362,11,
"Hanover Street - Bar Napoli","75 Hanover Street","2.5m x 1.5m & 2.1m x 1.6m","Monday, April 01, 2013","Monday, March 31, 2014",294,11,
"Hanover Street - Cacio Pepe","87 Hanover Street","1.5m x 1.5m and 1.3m x 1.5m","Monday, April 01, 2013","Monday, March 31, 2014",400,11,
"Hanover Street - Jekyll and Hyde","112 Hanover Street","3.4m x 1.7m","Monday, April 01, 2013","Monday, September 30, 2013",379,11,
"Hanover Street - La Lanterna","83 Hanover Street","2.2m x 1.6m","Monday, April 01, 2013","Monday, September 30, 2013",257,11,
"Hanover Street - Milnes Bar","35 Hanover Street","7.70m x 2.0m","Monday, April 01, 2013","Monday, March 31, 2014",427,11,
"Henderson Street - Sofis","63-65 Henderson Street","4.25m x 1.15m","Monday, April 01, 2013","Monday, September 30, 2013",453,13,
"High Riggs - Two Thin Laddies","103 High Riggs","4.8m x 5.0m","Monday, May 20, 2013","Tuesday, November 19, 2013",179,11,
"High Street - Albanach","197 High Street","3.54m x 1.6m and 2.45m x 1.6m","Monday, April 01, 2013","Monday, March 31, 2014",432,11,
"High Street - Bay of Bengal","164 High Street","3.8m x 2.0m","Friday, June 14, 2013","Friday, June 13, 2014",119,11,
"High Street - Caf","1 Parliament Square","9.8m x 1.5m","Wednesday, April 10, 2013","Wednesday, April 09, 2014",501,11,
"High Street - Caf","36-38 High Street","3.0m x 1.5m and 2.0m x 1.5m","Sunday, May 26, 2013","Sunday, May 25, 2014",333,11,
"High Street - Filling Station 2#","235-241 High Street","5.78m x 2.0m","Monday, April 01, 2013","Monday, March 31, 2014",66,11,
"High Street - Garfunkels","130 High Street","4.39m x 2.5m","Monday, April 01, 2013","Monday, March 31, 2014",106,11,
"High Street - Garfunkels Coffee Shop","144 High Street","5.0m x 1.8m","Thursday, January 17, 2013","Thursday, January 16, 2014",493,11,
"High Street - Gordons Trattoria","231 High Street","6.0m x 4.0m","Monday, April 01, 2013","Monday, March 31, 2014",398,11,
"High Street - Queens Spice","1 High Street","1.0m x 1.0m","Thursday, June 06, 2013","Thursday, June 05, 2014",162,11,
"High Street - Radisson Blu Hotel Edinburgh","80 High Street","5.15m x 2.10m","Monday, April 01, 2013","Monday, September 30, 2013",358,11,
"High Street - Rocco Restaurant","192a High Street","5.7m x 2.7m","Monday, April 01, 2013","Monday, September 30, 2013",169,11,
"High Street - Royal Mile Tavern","127 High Street","1.6m x 2.0m and 1.6m x 2.0m","Monday, April 01, 2013","Monday, March 31, 2014",153,11,
"High Street - Starbucks Coffee","124 High Street","3.2mx1.8m, 4.5m x 1.8m, 1.8m x 12.0m","Monday, April 01, 2013","Monday, March 31, 2014",46,11,
"High Street - Subway 1#","160 High Street","3.8m x 3.0m","Monday, May 06, 2013","Saturday, April 05, 2014",483,11,
"High Street - The Clam Shell","148 High Street","1.6m x 1.63m","Monday, April 01, 2013","Monday, March 31, 2014",135,11,
"High Street - The Mitre","133/135 High Street","3.3m x 1.6m & 3.3m x 1.6m","Monday, April 01, 2013","Monday, March 31, 2014",30,11,
"High Street - The Rabbie Burns","103 High Street","2.0m x 2.16m & 2.0m x 2.30m","Monday, April 01, 2013","Monday, March 31, 2014",227,11,
"High Street - The Royal McGregor","154 High Street","3.0m x 6.0m","Thursday, May 09, 2013","Thursday, May 08, 2014",408,11,
"High Street - Whiski","119 High Street","3.0m x 2.0m","Monday, April 01, 2013","Monday, March 31, 2014",69,11,
