ID,BINTYPE,STREETNAME,COMMENTS,ASHTRAY,DIRECTION,X,Y,NEIGHBOURH,WARD,INSTALL
2702,Half Edinburgh,Saughton Mains,Opposite 39 at shops,Yes,EB,0.00,0.00,South West,Sighthill/Gorgie,
2703,Derby Standard,Saughton Mains,At giovanis takeaway,Yes,EB,0.00,0.00,South West,Sighthill/Gorgie,
2704,Half Edinburgh,Saughton Road,Opposite 20,Yes,NB,0.00,0.00,South West,Sighthill/Gorgie,
2705,Barnsley,Corstorphine Road,At walkway leading to hill,Yes,EB,0.00,0.00,West,Corstorphine/Murrayfield,
2706,Half Edinburgh,Stevenson Drive,At Saughton sports centre,Yes,WB,0.00,0.00,South West,Sighthill/Gorgie,
2708,Derby Auto Slimline,Corxtorphine Road,At pinkhill,Yes,WB,0.00,0.00,West,Corstorphine/Murrayfield,
2709,Half Edinburgh,Pinkhill,At lamppost TDB 06,Yes,EB,0.00,0.00,West,Corstorphine/Murrayfield,
2710,Topsy,Pinkhill,Entrance to Walkway,Yes,EB,0.00,0.00,West,Corstorphine/Murrayfield,
2711,Half Edinburgh,Cairnmuir Road,At entrance to hill,Yes,EB,0.00,0.00,West,Drum Brae/Gyle,
2712,Derby Auto Slimline,Balgreen Road,At lamppost opposite South Beechwood,Yes,SB,0.00,0.00,West,Corstorphine/Murrayfield,
2713,Half Edinburgh,Balgreen Avenue,Outside 51,Yes,EB,0.00,0.00,West,Corstorphine/Murrayfield,
2714,Half Edinburgh,Glendevon Park,At foot of steps near entrance to park,Yes,WB,0.00,0.00,West,Corstorphine/Murrayfield,
2715,Topsy,Saughtonhall Drive,Outside Scotmid,Yes,NB,0.00,0.00,West,Corstorphine/Murrayfield,
2717,Topsy,Ravelston Dykes,Outside 66,Yes,EB,0.00,0.00,West,Corstorphine/Murrayfield,
2718,Half Edinburgh,Garscube Terrace,On corner of Succoth gardens,Yes,SB,0.00,0.00,West,Corstorphine/Murrayfield,
2719,Topsy,Murryfield Avenue,Outside Murryfield House,Yes,WB,0.00,0.00,West,Corstorphine/Murrayfield,
2720,Topsy,Russel Road,At entrance to walkway,Yes,EB,0.00,0.00,West,Corstorphine/Murrayfield,
2721,Half Edinburgh,Mcleod Street,Opposite Clinic,Yes,EB,0.00,0.00,South West,Sighthill/Gorgie,
2722,Half Edinburgh,Mcleod Street,Outside School,Yes,NB,0.00,0.00,South West,Sighthill/Gorgie,
2723,Topsy,Boswall Parkway,At bus sop opposite 9,Yes,SB,0.00,0.00,North,Forth,
2724,Barnsley,Boswall Parkway,Outside 49,No,EB,0.00,0.00,North,Forth,
2725,Barnsley,Wardieburn Drive,Outside 3,Yes,SB,0.00,0.00,North,Forth,
2727,Barnsley,Boswall Parkway,At stop opposite 136,Yes,WB,0.00,0.00,North,Forth,
2728,Derby Slimline,Boswall Parkway,Outside School,Yes,EB,0.00,0.00,North,Forth,
2729,Barnsley,Boswall Parkway,At bus stop at scotmid,Yes,EB,0.00,0.00,North,Forth,
