DESCRIP10,BUSINESS10,USECLASS86,USECLASS96,USECLASS04,USECLASS10,ADDRESS,POSTCODE
vacant,vacant,SUI GENERIS,SUI GENERIS,SUI GENERIS,Vacant,9 PENNYWELL COURT,EH4 4TZ
office,Community Renewal,Class 2,Class 2,Class 4,Class 2,11 PENNYWELL COURT,EH4 4TZ
vacant,vacant,Class 1,Class 1,Class 1,Vacant,2 PENNYWELL COURT,EH4 4TZ
household goods,Baba's Cave,,,Class 1,Class 1,4-6 PENNYWELL COURT,EH4 4TZ
advice centre,North Edinburgh Drug Advice Centre,Class 2,Class 4,,Class 2,(17) PENNYWELL COURT,EH4 4TZ
advice centre,North Edinburgh Drug Advice Centre,Class 4,Class 2,Class 2,Class 2,10 PENNYWELL COURT,EH4 4TZ
n/t/c,Newsagent,,,SUI GENERIS,Class 1,12-14 PENNYWELL COURT,EH4 4TZ
hot food take-away (Chinese),New Suen Moon,,,SUI GENERIS,SUI GENERIS,39 PENNYWELL ROAD,EH4 4QR
optician,Pennywell Opticians,Class 2,Class 1,Class 1,Class 1,41A PENNYWELL ROAD,EH4 4QR
supermarket,The Co-operative Food,,,Class 1,Class 1,43-45 PENNYWELL ROAD,EH4 4QR
baker,Greggs,Class 1,Class 1,Class 1,Class 1,45A PENNYWELL ROAD,EH4 4QR
betting shop,Coral Racing,Class 1,Class 1,Class 2,Class 2,175 PIERSFIELD TERRACE,EH8 7BR
funeral director,McKenzie & Millar,Class 4,Class 1,Class 1,Class 1,177 PIERSFIELD TERRACE,EH8 7BR
supermarket - large,Morrisons,,Class 1,Class 1,Class 1,6 PIERSFIELD TERRACE,
hairdresser,Jon Paul Hair Studio,Class 1,Class 1,Class 1,Class 1,125 PORTOBELLO HIGH STREE,EH15 1AF
delicatessen & cafÚ,Kitcheners Delicatessen,,,Class 1,Class 1,127-129 PORTOBELLO HIGH S,EH15 1AF
chiropodist,Portobello foot care,Class 1,Class 1,Class 1,Class 2,131 PORTOBELLO HIGH STREE,EH15 1AF
travel agent,Thomson,Class 1,Class 1,Class 1,Class 1,135 PORTOBELLO HIGH STREE,EH15 1AQ
frozen food,Iceland,Class 1,Class 1,Class 1,Class 1,40-42 PIERSFIELD TERRACE,EH8 7BJ
hot food take-away,The Belmonte,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,1 PIERSHILL PLACE,EH8 7EH
chiropodist,Dunedin Chiropody,Class 1,Vacant,Class 2,Class 2,3 PIERSHILL PLACE,EH8 7EH
vacant,vacant,SUI GENERIS,SUI GENERIS,Vacant,Vacant,5 PIERSHILL PLACE,EH8 7EH
public house,"Porters, Piershill Tavern",SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,7 PIERSHILL PLACE,EH8 7EH
betting shop,Ladbrokes,Vacant,Class 4,Class 2,Class 2,9 PIERSHILL PLACE,EH8 7EH
hot food take-away,Zoom Express,Class 1,Vacant,SUI GENERIS,SUI GENERIS,11 PIERSHILL PLACE,EH8 7EH
hot food take-away,Modern Taste,Class 4,Vacant,SUI GENERIS,SUI GENERIS,2 PIERSHILL PLACE,EH8 7EH
vacant,vacant,Class 1,Class 4,Class 1,Vacant,4 PIERSHILL PLACE,EH8 7EH
hot food take-away (Chinese),May flower,Class 1,SUI GENERIS,SUI GENERIS,SUI GENERIS,8A PIERSHILL PLACE,EH8 7EH
betting shop,William Hill,Class 1,Class 1,Vacant,Class 2,47A PENNYWELL ROAD,EH4 4QR
unknown,U save,Class 1,Class 1,Class 1,UNKNOWN USE,49 PENNYWELL ROAD,EH4 4TY
hairdresser,CMS Hair & Beauty,Class 1,Class 1,Class 1,Class 1,53A PENNYWELL ROAD,EH4 4TY
n/t/c,R.S. McColl,Class 1,Class 1,Class 1,Class 1,55 PENNYWELL ROAD,EH4 4TY
chemist,Lloyds Pharmacy,Class 1,Class 1,Class 1,Class 1,55A-57 PENNYWELL ROAD,EH4 4TY
butcher,Pork Sausage Ltd,Class 1,Class 1,Class 1,Class 1,57A PENNYWELL ROAD,EH4 4TY
hot food take-away,Gerry's Fish Bar,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,59 PENNYWELL ROAD,EH4 4TY
cafÚ (fish & chips),Gerry's,Class 1,Class 1,Vacant,Class 3,61 PENNYWELL ROAD,EH4 4TY
public house,The Gunner,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,63 PENNYWELL ROAD,EH4 4TY
hot food take-away (fish and chips),Sofias,Class 1,Class 1,SUI GENERIS,SUI GENERIS,1 PENTLAND VIEW COURT,EH14 5NP
greeting cards & gifts,That Shop (Hallmark),Class 1,Class 1,Class 1,Class 1,3 PENTLAND VIEW COURT,EH14 5NP
grocer / convenience store,Scotmid,Class 1,Class 1,Class 1,Class 1,7 PENTLAND VIEW COURT,EH14 5NP
hot food take-away (Chinese),Golden Chopsticks,Class 1,SUI GENERIS,SUI GENERIS,SUI GENERIS,9 PENTLAND VIEW COURT,EH14 5NP
chemist,Lindsay & Gilmour,Class 1,Class 1,Class 1,Class 1,2 PENTLAND VIEW COURT,EH14 5NP
public house,Pentland View,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,4-5 PENTLAND VIEW COURT,EH14 5NP
vacant,vacant,Class 1,Class 1,Class 1,Vacant,6 PENTLAND VIEW COURT,EH14 5NP
hot food take away (Indian),The Rannaghor,SUI GENERIS,SUI GENERIS,Class 1,SUI GENERIS,8 PENTLAND VIEW COURT,EH14 5NP
public house,The Street,SUI GENERIS,Vacant,SUI GENERIS,SUI GENERIS,2 PICARDY PLACE,EH1 3JT
solicitors & estate agents,Neilsons,Class 2,Class 2,Class 2,Class 2,2A PICARDY PLACE,EH1 3JT
bar/restaurant,GHQ,,,Class 3,Class 3,4 PICARDY PLACE,EH1 3JT
bank,Bank of Scotland / HBOS,Class 2,Class 2,Class 2,Class 2,6 PICARDY PLACE,EH1 3JT
vacant,vacant,Class 1,Class 1,Class 1,Vacant,8(GF) PICARDY PLACE,EH1 3JT
cafÚ,The Market Buffet,Class 3,Class 3,Class 3,Class 3,3 PIER PLACE,EH6 4LP
restaurant (Italian),Prezzo,,,Vacant,Class 3,25 PIER PLACE,EH6 4LP
financial services,Female independent ltd.,Class 2,Class 2,Class 2,Class 2,113 PIERSFIELD TERRACE,EH8 7BS
design office,Mayburn Design,Class 4,Class 4,Class 4,Class 4,117 PIERSFIELD TERRACE,EH8 7BS
n/t/c,M. Afzal & Son,Class 1,Class 1,Class 1,Class 1,119 PIERSFIELD TERRACE,EH8 7BS
beauty salon,Tanz,Class 2,Class 2,Class 1,Class 1,123 PIERSFIELD TERRACE,EH8 7BS
tools,Machine Mart,,,Class 1,Class 1,171 PIERSFIELD TERRACE,EH8 7BR
chemist,Nuchem,Class 1,Class 1,Class 1,Class 1,173 PIERSFIELD TERRACE,EH8 7BR
supermarket - large,Morrisons,,Class 1,Class 1,Class 1,102-104 PILTON DRIVE,
showroom,amusement arcade,,,UNKNOWN USE,Class 11,49-51 PIPE STREET,EH15 1BR
hairdresser,Beatrice McShee,Class 1,Class 1,Class 1,Class 1,3 PIRRIE STREET,EH6 5HY
contract cleaners,Dunedin Contract,Class 4,Class 4,Class 4,Class 4,2 PITT STREET,EH6 4BU
wholesale wines,Laurence Smith & Son,Class 2,Class 2,Class 2,Class 2,61 PLEASANCE,EH8 9TQ
vacant,vacant,Vacant,Vacant,Class 3,Vacant,65 PLEASANCE,EH8 9TG
vacant,vacant,Vacant,Class 1,Vacant,Vacant,193 PLEASANCE,EH8 9RU
vacant,vacant,Vacant,Vacant,,Vacant,201 PLEASANCE,EH8 9RU
photographer/studio hire,Studio 203,Vacant,Class 1,Class 1,Class 2,203 PLEASANCE,EH8 9RU
office,Scottish Pensions Association,Class 4,Vacant,Class 4,Class 4,207 PLEASANCE,EH8 9RU
licensed club,Lismore Rugby Football Club,Vacant,SUI GENERIS,SUI GENERIS,SUI GENERIS,192 PLEASANCE,EH8 9RT
grocer,Polwarth Fruit Market & Grocers,Class 4,Class 1,Class 1,Class 1,29 POLWARTH CRESCENT,EH11 1HR
vacant,vacant (boarded up),,,Vacant,Vacant,33 POLWARTH CRESCENT,EH11 1HR
vacant,vacant,,,Vacant,Vacant,43-45 POLWARTH CRESCENT,EH11 1HS
vacant,vacant,Class 1,Class 1,Class 1,Vacant,2 POLWARTH CRESCENT,EH11 1HW
travel agent,Bryton Travel,Class 1,Class 1,Class 1,Class 1,4 POLWARTH CRESCENT,EH11 1HW
vacant,vacant,Class 2,Class 2,Class 2,Vacant,6 POLWARTH CRESCENT,EH11 1HW
grocer (lic.) & n/t/c,Polwarth Superstore,Class 1,Class 1,Class 1,Class 1,8 POLWARTH CRESCENT,EH11 1HW
vacant,vacant (boarded up),Vacant,Vacant,Vacant,Vacant,,
residential property management,Alba Residential,Class 1,Class 1,Vacant,Class 2,12A POLWARTH CRESCENT,EH11 1HW
restaurant & hot food take-away (Chinese),Maxin's,Vacant,Class 3,Class 3,Class 3,14 POLWARTH CRESCENT,EH11 1HW
office,Mowco Ltd.,Class 2,Vacant,Class 4,Class 4,36 POLWARTH CRESCENT,EH11 1HN
grocers,Al-Halal Food Store,SUI GENERIS,Vacant,,Class 1,42 POLWARTH CRESCENT,EH11 1HL
office,vacant,Class 1,Class 4,,Vacant,46-50(BF) POLWARTH CRESCE,EH11 1HL
office (social care staff agency),SCRT,Class 4,Class 4,,Class 4,46-50(GF) POLWARTH CRESCE,EH11 1HL
grocer (lic.) & n/t/c,Santangeli,Class 2,Class 2,Class 1,Class 1,1 POLWARTH GARDENS,EH11 1JS
veterinary surgery,Happy Pets,Class 1,Class 1,Class 2,Class 2,,
veterinary surgery,Happy Pets,,,Class 2,Class 2,,
vacant,vacant,Class 4,Class 1,Class 1,Vacant,7 POLWARTH GARDENS,EH11 1JS
fireplace surrounds,Traditional Fire Surrounds,,,Class 1,Class 1,81-83 POLWARTH GARDENS,EH11 1LQ
hairdresser,Preston Hair,Class 1,Class 1,Vacant,Class 1,2 POLWARTH GARDENS,EH11 1LW
"business services - accounting, tax etc.",Facts & Figures - Business Solutions Centre,Class 1,Vacant,Class 4,Class 4,4 POLWARTH GARDENS,EH11 1LW
hairdresser (gents),EH11,Class 1,Class 1,Class 1,Class 1,6 POLWARTH GARDENS,EH11 1LW
"hot food take-away (pizzas, kebabs)",Pizza Corner,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,8 POLWARTH GARDENS,EH11 1LW
restaurant & hot food take-away (Chinese),South China Inn,Class 1,Class 1,Class 3,Class 3,16 POLWARTH GARDENS,EH11 1LW
launderette,Munro - Suds 'R' Us,Class 1,Class 1,Class 1,Class 1,20 POLWARTH GARDENS,EH11 1LW
grocer / convenience store,Scotmid,,,Class 1,Class 1,116B POLWARTH GARDENS,EH11 1LH
insurance brokers,Giles Insurance Brokers Ltd.,Class 1,Class 11,,Class 2,5 PONTON STREET,EH3 9QQ
boats,Production Yachts (Port Edgar) Ltd.,,,SUI GENERIS,SUI GENERIS,(J) PORT EDGAR,EH30 9TD
marine equipment,Forth Area Marine Electronics Ltd.,,,Class 2,Class 2,(J/1) PORT EDGAR,EH30 9TD
vacant,vacant,,,Class 3,Vacant,(U) PORT EDGAR,EH30 9TD
vacant,vacant,Vacant,Vacant,Vacant,Vacant,1B-3 PORTLAND PLACE,EH6 6LA
take away food,Derrick's Takeaway,Class 1,Class 1,Class 1,Class 1,6 PORTLAND PLACE,EH6 6LA
cafÚ,Snax Cafe,Vacant,Class 1,Class 3,Class 3,8 PORTLAND PLACE,EH6 6LA
hairdressers,Red Hair & Beauty,Vacant,Class 2,Class 2,Class 1,10 PORTLAND PLACE,EH6 6LA
vacant,vacant,Vacant,Vacant,Class 1,Vacant,12 PORTLAND PLACE,EH6 6LA
computer consumables,Inkredible Cartridges,Vacant,Class 1,Class 1,Class 1,13 PORTLAND PLACE,EH6 6LA
hot food take-away (Chinese),Samuel's,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,14 PORTLAND PLACE,EH6 6LA
tailors & dry cleaning,Zig Zag,Class 1,Class 1,Class 2,Class 1,15 PORTLAND PLACE,EH6 6LA
public house,Rumba,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,17 PORTLAND PLACE,EH6 6LA
grocer,Best One,Class 1,Class 1,Class 1,Class 1,18 PORTLAND PLACE,EH6 6LA
betting shop,William Hill,Class 2,Class 2,Class 2,Class 2,20 PORTLAND PLACE,EH6 6LA
vacant,vacant,SUI GENERIS,SUI GENERIS,SUI GENERIS,Vacant,21 PORTLAND PLACE,EH6 6LA
vacant,vacant,Class 1,SUI GENERIS,SUI GENERIS,Vacant,23 PORTLAND PLACE,EH6 6LA
craft materials,Get Creative,Class 1,Class 1,Class 1,Class 1,100 PORTOBELLO HIGH STREE,EH15 1AL
hot food take-away,Golden Bite,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,102 PORTOBELLO HIGH STREE,EH15 1AL
charity shop,Friends of the Edinburgh Dog & Cat Home,Class 1,Class 1,Class 1,Class 1,104 PORTOBELLO HIGH STREE,EH15 1AL
hot food take-away (Chinese),108,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,108 PORTOBELLO HIGH STREE,EH15 1AL
stationery,Portobello Stationers,,,Class 1,Class 1,110 PORTOBELLO HIGH STREE,EH15 1AL
"butcher, delicatessen",Findlays,,,Class 1,Class 1,112-116 PORTOBELLO HIGH S,EH15 1AL
n/t/c,R.S. McColl,Class 1,Class 1,Class 1,Class 1,120-122 PORTOBELLO HIGH S,EH15 1AH
betting shop,William Hill,SUI GENERIS,SUI GENERIS,SUI GENERIS,Class 2,124 PORTOBELLO HIGH STREE,EH15 1AH
hairdresser,Bluto and Olive's,Class 1,Class 1,Class 1,Class 1,126 PORTOBELLO HIGH STREE,EH15 1AH
hot & cold food take-away,Izzy's,Class 1,Class 1,SUI GENERIS,SUI GENERIS,128 PORTOBELLO HIGH STREE,EH15 1AH
sandwich shop,Popeye's Sandwich Bar,Class 1,Class 1,Class 1,Class 1,132 PORTOBELLO HIGH STREE,EH15 1AH
cheque cashing,Cheque Centre,Class 1,Class 1,Class 1,Class 2,134 PORTOBELLO HIGH STREE,EH15 1AH
greengrocer,Banana Republic (Budget Fruit Supplies),Class 1,Class 1,Class 1,Class 1,134A PORTOBELLO HIGH STRE,EH15 1AH
bank,Lloyds TSB Scotland,Class 2,Class 2,Class 2,Class 2,134C PORTOBELLO HIGH STRE,EH15 1AJ
chemist,Semi-Chem,Class 1,Class 1,Class 1,Class 1,136 PORTOBELLO HIGH STREE,EH15 1AH
mobile phones,unnamed,Class 1,Class 1,Vacant,Class 1,140 PORTOBELLO HIGH STREE,EH15 1AH
n/t/c,Porto News,Class 1,Class 1,Class 1,Class 1,144 PORTOBELLO HIGH STREE,EH15 1AH
fishmonger,John Williamson,Class 1,Class 1,Class 1,Class 1,146 PORTOBELLO HIGH STREE,EH15 1AH
greeting cards,Special Thoughts,Class 1,Class 1,Class 1,Class 1,150 PORTOBELLO HIGH STREE,EH15 1AH
vacant,vacant,SUI GENERIS,SUI GENERIS,SUI GENERIS,Vacant,24 PORTLAND PLACE,EH6 6LA
vacant,vacant,Class 2,Vacant,Vacant,Vacant,25 PORTLAND STREET,EH6 4BB
car sales / car wash,Roger Clark / Pro Clean,,,Class 1,SUI GENERIS,3(01) PORTOBELLO HIGH STR,EH15 1DW
bicycles & roller blades,BG Cycles & Blades,Class 4,Class 1,Class 1,Class 1,25 PORTOBELLO HIGH STREET,EH15 1DE
computer repairs,Data,Class 1,Class 4,Vacant,Class 1,27 PORTOBELLO HIGH STREET,EH15 1DE
vacant,vacant,Vacant,Class 3,Class 3,Vacant,79 PORTOBELLO HIGH STREET,EH15 1AW
public house,Three Monkeys,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,87 PORTOBELLO HIGH STREET,EH15 1AW
financial services,Four Seasons,Class 1,Class 1,Class 1,Class 2,91 PORTOBELLO HIGH STREET,EH15 1AW
hairdresser,Tangles,Vacant,Class 2,Class 4,Class 1,95 PORTOBELLO HIGH STREET,EH15 1AW
doll houses,It's a small world,Class 1,Class 1,Class 1,Class 1,99 PORTOBELLO HIGH STREET,EH15 1AR
charity shop,Lifeline Charity Shop,Vacant,Class 1,Vacant,Class 1,103 PORTOBELLO HIGH STREE,EH15 1AR
charity shop,"Chest, heart and stroke",Class 1,Class 1,Vacant,Class 1,113 PORTOBELLO HIGH STREE,EH15 1AR
hairdresser,Ooh la la,Class 1,Class 4,Vacant,Class 1,115 PORTOBELLO HIGH STREE,EH15 1AR
beauty salon,Body Beautiful,Class 1,Class 1,Class 1,Class 1,117 PORTOBELLO HIGH STREE,EH15 1AR
wine merchant,fine wine company,Class 1,Class 4,Class 1,Class 1,119 PORTOBELLO HIGH STREE,EH15 1AR
vacant,vacant,Class 2,Class 1,Class 1,Vacant,121 PORTOBELLO HIGH STREE,EH15 1AF
bank,Bank of Scotland / HBOS,,,Class 2,Class 2,151 PORTOBELLO HIGH STREE,EH15 1AF
public house,The Glassblower,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,163 PORTOBELLO HIGH STREE,EH15 1EU
vacant,vacant,SUI GENERIS,SUI GENERIS,Vacant,Vacant,165 PORTOBELLO HIGH STREE,EH15 1EU
pets & pet supplies,Acorn Pet Centres,,,Class 1,Class 1,167-171 PORTOBELLO HIGH S,EH15 1EU
veterinary surgery,Abercorn Veterinary Clinics,Class 2,Class 2,Class 2,Class 2,,
bank,Royal Bank of Scotland,Class 2,Class 2,Class 2,Class 2,177 PORTOBELLO HIGH STREE,EH15 1EU
public house,Portobello Bar,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,187 PORTOBELLO HIGH STREE,EH15 1EU
vacant,vacant,Class 2,Class 2,Class 2,Vacant,191-193 PORTOBELLO HIGH S,EH15 1EU
hot food take-away,Pizza Hut,,,SUI GENERIS,SUI GENERIS,195 PORTOBELLO HIGH STREE,EH15 1EU
grocer and general store,Portobello Costcutter,Class 3,Class 3,Class 1,Class 1,201 PORTOBELLO HIGH STREE,EH15 1EU
betting shop,William Hill,,,Class 2,Class 2,203 PORTOBELLO HIGH STREE,EH15 1EU
florist,Demi's,Class 2,Class 4,Class 1,Class 1,209(A) PORTOBELLO HIGH ST,EH15 1EU
hairdresser (gents),Gerrys Barbers,Class 1,Class 1,Class 1,Class 1,211(A) PORTOBELLO HIGH ST,EH15 1EU
videotape hire,Blockbuster,Class 1,Class 1,Class 1,Class 1,215-217 PORTOBELLO HIGH S,EH15 1EU
n/t/c,A & A Newsagent,Class 1,Class 1,Class 1,Class 1,219 PORTOBELLO HIGH STREE,EH15 1EU
"hot food take-away (fish & chips, pizzas, kebabs)",Carlo's,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,227 PORTOBELLO HIGH STREE,EH15 2AN
property letting,Annan property,,,Class 2,Class 2,229 PORTOBELLO HIGH STREE,EH15 2AN
hairdresser (ladies & gents),Buddys,Class 1,Class 1,Class 1,Class 1,237 PORTOBELLO HIGH STREE,EH15 2AN
vacant,vacant,Class 2,Vacant,Class 4,Vacant,239 PORTOBELLO HIGH STREE,EH15 2AN
vacant,vacant,SUI GENERIS,SUI GENERIS,SUI GENERIS,Vacant,241-243 PORTOBELLO HIGH S,EH15 2AW
vacant,vacant,Vacant,SUI GENERIS,Class 4,Vacant,247 PORTOBELLO HIGH STREE,EH15 2AW
hot food take-away (pizzas),Cinnamon,Vacant,Class 3,SUI GENERIS,Vacant,249 PORTOBELLO HIGH STREE,EH15 2AW
charity shop,Hearing Dogs for the Deaf,Vacant,Class 1,Class 1,Class 1,251 PORTOBELLO HIGH STREE,EH15 2AW
vacant,vacant,Class 4,Class 4,,Vacant,26-28 PORTOBELLO HIGH STR,EH15 1DD
dog grooming parlour,Joanne's Dog  Grooming Salon,Vacant,Vacant,Class 2,Class 2,32 PORTOBELLO HIGH STREET,EH15 1DD
vacant,vacant,Vacant,Class 4,Class 2,Vacant,34 PORTOBELLO HIGH STREET,EH15 1DD
public house,Foresters Arms,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,40 PORTOBELLO HIGH STREET,EH15 1DA
fishing tackle & outdoor clothing,Mike's Tackle Shop,,,Class 1,Class 1,,
bicycles & roller blades,BG Cycles & Blades,Class 1,Class 1,Class 1,Class 1,48 PORTOBELLO HIGH STREET,EH15 1DA
fair trade crafts & household goods,Just World Shop,Class 4,Class 1,Class 1,Class 1,52-54 PORTOBELLO HIGH STR,EH15 1DA
contractor,City Roofing,Class 4,Vacant,Class 2,Class 4,56 PORTOBELLO HIGH STREET,EH15 1DA
funeral directors,Scotmid Funeral Service,Class 1,Vacant,Class 1,Class 1,60 PORTOBELLO HIGH STREET,EH15 1DA
vacant,vacant,Class 1,Class 1,Class 1,Vacant,62 PORTOBELLO HIGH STREET,EH15 1AN
"hot food take-away (curries, pizzas, kebabs, burgers)",Mint,Class 1,Class 1,SUI GENERIS,SUI GENERIS,64 PORTOBELLO HIGH STREET,EH15 1AN
Restaurant/hot food take away,China CafÚ,Class 1,Class 1,Vacant,Class 3,66 PORTOBELLO HIGH STREET,EH15 1AN
"grocer, convenience store, n/t/c",Premier Convenience Store,Class 1,Vacant,Class 1,Class 1,72 PORTOBELLO HIGH STREET,EH15 1AN
vacant,vacant,Class 11,Class 11,Class 11,Vacant,,
cafÚ,Lorraine's diner,Class 3,Vacant,Class 3,Class 3,78 PORTOBELLO HIGH STREET,EH15 1AN
hot food take-away,Istanbul,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,80 PORTOBELLO HIGH STREET,EH15 1AN
vacant,vacant,Class 1,Class 2,Class 2,Vacant,84 PORTOBELLO HIGH STREET,EH15 1AN
public house,The Galleon,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,88 PORTOBELLO HIGH STREET,EH15 1AN
florist,Little Petals,Vacant,Class 1,Vacant,Class 1,90 PORTOBELLO HIGH STREET,EH15 1AN
vacant,vacant,Class 1,Class 1,Class 1,Vacant,94 PORTOBELLO HIGH STREET,EH15 1AN
carpets,discount carper centre,Class 1,Class 1,Class 2,Class 1,96 PORTOBELLO HIGH STREET,EH15 1AN
vacant,vacant,Class 1,Class 1,Class 2,Vacant,98 PORTOBELLO HIGH STREET,EH15 1AN
money lending,cash brokers,Class 1,Class 1,Class 1,Class 2,152-154 PORTOBELLO HIGH S,EH15 1AH
solicitors & estate agents,McIntyre Lewis,Class 2,Class 2,Class 2,Class 2,158 PORTOBELLO HIGH STREE,EH15 1AH
osteopath,Soma Osteopathy,,,Class 2,Class 2,19-21 QUEEN CHARLOTTE STR,EH6 6BA
vacant,vacant,Class 1,SUI GENERIS,Class 3,Vacant,40-42 QUEEN CHARLOTTE STR,EH6 6AT
public house,Compass,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,44 QUEEN CHARLOTTE STREET,EH6 7EX
restaurant,e.s.i.,,,Class 3,Class 3,46 QUEEN CHARLOTTE STREET,EH6 7EX
hot food take-away,Rumbletums,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,52 QUEEN CHARLOTTE STREET,EH6 7EX
chiropractor,Leith Chiropractic Clinic,Class 4,Class 2,Class 2,Class 2,56 QUEEN CHARLOTTE STREET,EH6 7EX
motorbike sales,Carrick (Yamaha),,,SUI GENERIS,SUI GENERIS,58-66 QUEEN CHARLOTTE STR,EH6 7ET
"clothing alterations, tailoring",City Alterations & Professional Tailoring,Class 3,Class 3,Class 1,Class 1,16A QUEEN STREET,EH2 1JE
optician,20/20 Opticians,,,Class 1,Class 1,17 QUEEN STREET,EH2 1JX
pawnbroker,Duncanson & Edwards Pawnbrokers,Class 1,Vacant,Class 2,Class 2,38 QUEEN STREET,EH2 1JX
take-away food,Brown Sugar,Class 1,Class 1,Class 1,Class 1,39 QUEEN STREET,EH2 3NH
wine bar,Drinkies,Class 1,Class 1,Class 1,SUI GENERIS,39A QUEEN STREET,EH2 3NH
vacant,vacant,,,Class 1,Vacant,43(A) QUEEN STREET,EH2 3NH
"lighting, homeware",Ottimo,,Class 1,Class 1,Class 1,44(GF) QUEEN STREET,EH2 3NL
restaurant,Librizzi,Class 2,Class 3,Class 3,Class 3,59 QUEEN STREET,EH2 3NS
clothing for motor cyclists,Hein Gericke,Class 1,Class 1,Class 1,Class 1,60 QUEEN STREET,EH2 4NA
printers,XIC.com /  Xpress Print,Class 4,Class 4,Class 4,Class 4,61A QUEEN STREET,EH2 4NA
clothing,Stewart Christie & Co. Ltd.,Class 1,Class 1,Class 1,Class 1,63-63A QUEEN STREET,EH2 4NA
n/t/c,Sweet Service Newsagent,Class 1,Class 1,Class 1,Class 1,78(GF) QUEEN STREET,EH2 4NF
hairdresser (gents),HIM,UNKNOWN USE,Class 1,Class 1,Class 1,78A QUEEN STREET,EH2 4NF
baker,Fords,Class 1,Vacant,Class 1,Class 1,160 PORTOBELLO HIGH STREE,EH15 1AH
charity shop,Marie Curie cancer,Class 2,Class 1,Class 1,Class 1,162 PORTOBELLO HIGH STREE,EH15 1AH
baker,Greggs,,,Class 1,Class 1,164 PORTOBELLO HIGH STREE,EH15 1EX
greeting cards,Scribble,,,Class 1,Class 1,80 PRINCES STREET,EH2 2ER
shoes & footwear,Barratts,Class 1,Class 1,Class 1,Class 1,81 PRINCES STREET,EH2 2ER
chemist,Superdrug,Class 1,Class 1,Class 1,Class 1,81A-82 PRINCES STREET,EH2 2ER
general clothing,GAP,Class 1,Class 1,Class 1,Class 1,84-84A PRINCES STREET,EH2 2ER
ladies clothing,H & M (Hennes & Mauritz),Class 1,Class 1,Class 1,Class 1,85 PRINCES STREET,EH2 2ER
sports footwear (trainers etc),Foot Locker,Class 1,Class 1,Class 1,Class 1,87 PRINCES STREET,EH2 2ER
sports clothing & equipment,JJB Sports,Class 1,Class 1,Class 1,Class 1,88 PRINCES STREET,EH2 2ER
lingerie,Ann Summers,Class 1,Class 1,Class 1,Class 1,89 PRINCES STREET,EH2 2ER
vacant,vacant,SUI GENERIS,Class 1,Vacant,Vacant,90(GF) PRINCES STREET,EH2 2ER
cosmetics & toiletries,The Body Shop,Class 1,Class 3,Class 1,Class 1,90A PRINCES STREET,EH2 2ER
"photo processing, frames, albums",Snappy Snaps,,,Class 1,Class 1,36 QUEENSFERRY STREET,EH2 4QS
jeweller,James Ness & Son,Class 1,Class 1,Class 1,Class 1,38 QUEENSFERRY STREET,EH2 4QY
fishmonger,Welch's Quality Fish,Class 1,Class 1,Class 1,Class 1,39 QUEENSFERRY STREET,EH2 4QS
restaurant,Bar Roma,,,Class 3,Class 3,39A-40A QUEENSFERRY STREE,EH2 4RA
vacant,"vacant (formerly MYO, sandwich shop)",Class 1,Class 1,Vacant,Vacant,40 QUEENSFERRY STREET,EH2 4RA
sandwich shop,Caroline's Takeaway,Vacant,Class 1,Class 4,Class 1,"80 RESTALRIG ROAD, SOUTH",EH7 6JB
n/t/c,M. Amin,Class 1,Class 1,Class 1,Class 1,"110 RESTALRIG ROAD, SOUTH",EH7 6JB
grocer / convenience store,Scotmid,Class 1,Class 1,Class 1,Class 1,"160-162 RESTALRIG ROAD, S",EH7 6EH
bank,Royal Bank of Scotland,Class 2,Class 2,Class 2,Class 2,12 RICCARTON,EH14 4AP
hairdresser,n/a,,,UNKNOWN USE,UNKNOWN USE,13 RICCARTON,EH14 4AP
grocer,n/a,,,UNKNOWN USE,Class 1,14 RICCARTON,EH14 4AP
garden centre,Plantastic,,,Class 1,Class 1,(81) RICCARTON MAINS ROAD,EH14 5NB
