DESCRIP10,BUSINESS10,USECLASS86,USECLASS96,USECLASS04,USECLASS10,ADDRESS,POSTCODE
car sales,Albion Road Garage,UNKNOWN USE,SUI GENERIS,SUI GENERIS,SUI GENERIS,38 ALBION ROAD,EH7 5QU
health studio & sauna,Scorpio Leisure,Class 4,Class 11,Class 11,Class 11,42-44 ALBION ROAD,EH7 5QU
grocer,Lifestyle Stop & Shop,,,Class 1,Class 1,52 ALBION ROAD,EH7 5QZ
vacant,vacant,,,Class 4,Vacant,56 ALBION ROAD,EH7 5QZ
vacant,vacant,Vacant,Vacant,Vacant,Vacant,58 ALBION ROAD,EH7 5QZ
graphic design,The Fourth Craw,,,Class 4,Class 4,8 ALEXANDER DRIVE,EH11 2RH
surveyors & estate agents,Davidson & Robertson,Class 2,Class 4,Class 4,Class 4,1 ALLAN PARK ROAD,EH14 1LD
restaurant,Howies,,,Class 3,Class 3,1A ALVA STREET,EH2 4PH
office,Abercrombie Financial Consultancy,,,Class 1,Class 2,11(BF) ALVA STREET,EH2 4PH
beauty salon,Claire's Beauty and Health,Class 1,Class 1,Class 1,Class 1,33 ALVA STREET,EH2 4PS
ladies clothing,Meloosha,Class 3,Class 3,Class 3,Class 1,34-34B ALVA STREET,EH2 4PY
bicycles,Edinburgh Bicycle Co-operative,,,Class 1,Class 1,5-11 ALVANLEY TERRACE,EH9 1DU
public house,Prom Bar,,,SUI GENERIS,SUI GENERIS,2-3 ANCHORFIELD,EH6 4JG
betting shop,Fernieside Racing,Class 1,Class 4,Class 2,Class 2,5 ANCHORFIELD,EH6 4JG
vacant,vacant,Class 1,Class 1,Class 1,Vacant,6 ANCHORFIELD,EH6 4JG
vacant,vacant,Class 1,Class 1,Class 1,Vacant,7 ANCHORFIELD,EH6 4JG
vacant,vacant,Class 1,Class 3,Class 3,Vacant,9 ANCHORFIELD,EH6 4JG
public house,Athleic Arms,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,1-3 ANGLE PARK TERRACE,EH11 2JX
electrician & plumber,AEIS,Class 2,Vacant,Vacant,Class 4,5 ANGLE PARK TERRACE,EH11 2JX
office,n/a,Class 2,Class 2,Class 2,Class 4,7 ANGLE PARK TERRACE,EH11 2JX
furniture,Olympian Pine Ltd,,,Class 1,Class 1,(8) ANGLE PARK TERRACE,EH11 2JX
"party planning, production & events",Theme  Traders,Class 4,Class 4,Class 4,Class 4,22 ANGLE PARK TERRACE,EH11 2JX
vacant,vacant,Class 1,Vacant,Class 11,Vacant,24 ANGLE PARK TERRACE,EH11 2JT
public house,Caledonian Sample Room,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,58 ANGLE PARK TERRACE,EH11 2JR
n/t/c,Angle Park Newsagents,Class 1,Class 1,Class 1,Class 1,60 ANGLE PARK TERRACE,EH11 2JR
place of worship,Bethel House of God,Class 1,Class 1,Class 1,Class 2,62 ANGLE PARK TERRACE,EH11 2JR
dj & diisco,Sound N Vision,Class 4,Class 4,Class 1,Class 4,64 ANGLE PARK TERRACE,EH11 2JR
dwellijng,dwelling,Class 4,Vacant,Class 4,Class 9,,
unknown,n/a,Class 4,Class 4,Class 4,Class 4,,
upholsterer,W.Irvine & Son,Class 1,Class 1,Class 4,Class 4,76 ANGLE PARK TERRACE,EH11 2JP
demolished,demolished,,Class 1,Class 1,Demolished,,
car hire,Entreprise,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,12 ANNANDALE STREET,EH7 4AN
hot food take-away (Indian),Urooj,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,3 ANNFIELD,EH6 4JF
public house,The Annfield,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,10 ANNFIELD,EH6 4JF
restaurant,Ferri's Restaurant,Class 3,SUI GENERIS,Class 3,Class 3,1 ANTIGUA STREET,EH1 3NH
hot food take-away,Deep Sea Fish & Chips,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,2 ANTIGUA STREET,EH1 3NH
restaurant,Mama Roma,,,Class 3,Class 3,4-7 ANTIGUA STREET,EH1 3NH
pictures & picture framing,L. Freedman,Class 1,Class 1,Class 1,Class 1,8 ANTIGUA STREET,EH1 3NH
restaurant,Gurkha Brigade,Class 3,Class 3,Class 3,Class 3,9A ANTIGUA STREET,EH1 3NH
internet cafÚ,E Corner,,,Vacant,Class 3,54 BLACKFRIARS STREET,EH1 1NE
vacant,"vacant (formerly Zara, hot food take away)",Class 1,Class 1,Class 1,Vacant,56 BLACKFRIARS STREET,EH1 1NE
converted to residential,dwelling,Class 1,Class 1,Class 1,Class 9,,
dwelling,dwelling,,,Vacant,Class 9,,
office,Transition (Turning Point Scotland),Class 1,Vacant,Class 4,Class 4,15 BLAIR STREET,EH1 1QR
public house,The City CafÚ,,,SUI GENERIS,SUI GENERIS,19 BLAIR STREET,EH1 1QR
sauna,Blair Street Sauna,Class 11,Class 11,Class 11,Class 11,30 BLAIR STREET,EH1 1QR
restaurant,Marlin's Wynd,,,Class 3,Class 3,34A BLAIR STREET,EH1 1QR
public house,Cabaret Voltaire Bar,,,SUI GENERIS,SUI GENERIS,36-38 BLAIR STREET,EH1 1QR
