"Street name",Locality,From,To,"Section Length (Metres)","Treatment Priority Category","Treatment Route Number"
"Grierson Road",Boswall,"Wardie Crescent","Grierson Crescent",103.2,1B,P026_Trinity
"Grindlay Street","Old Town","Grindlay Street Court","Cambridge Street",106.4,1A,P002_CityCentreSouth
"Grindlay Street","Old Town","End of cul de sac","Spittal Street",90.8,1A,P002_CityCentreSouth
"Groathill Avenue",Craigleith,"Groathill Road South","Telford Road",253.7,1B,P020_Blackhall_Craig
"Groathill Road North","Easter Drylaw","Wester Drylaw Row","Telford Road",105.4,1B,P019_DavidsonMains_P
"Groathill Road North","Easter Drylaw","Easter Drylaw Gardens","Easter Drylaw Gardens",69.92,1B,P019_DavidsonMains_P
"Groathill Road North","Easter Drylaw","Groathill Road North","Wester Drylaw Row",47.13,1B,P019_DavidsonMains_P
"Groathill Road North","Easter Drylaw","Easter Drylaw Gardens","Groathill Road North",66.76,1B,P019_DavidsonMains_P
"Groathill Road North","Easter Drylaw","Wester Drylaw Place","Easter Drylaw Gardens",85.44,1B,P019_DavidsonMains_P
"Groathill Road North","Easter Drylaw","Ferry Road","Wester Drylaw Place",109.5,1B,P019_DavidsonMains_P
"Groathill Road North","Easter Drylaw","Wester Drylaw Drive","Groathill Road North",46.84,1B,P019_DavidsonMains_P
"Groathill Road North","Easter Drylaw","Easter Drylaw Drive","Wester Drylaw Drive",92.72,1B,P019_DavidsonMains_P
"Groathill Road North","Easter Drylaw","End of cul de sac","Easter Drylaw Drive",60.44,1B,P019_DavidsonMains_P
"Haddington Place",Broughton,"Brunswick Road","Brunswick Street",40.61,1B,"P025_Leith Route"
"Haddington Place",Broughton,"Brunswick Street","Annandale Street",187.2,1B,"P025_Leith Route"
"Haddington Place",Broughton,"Annandale Street","Montgomery Street",27.02,1B,"P025_Leith Route"
"Haddington Place",Broughton,"Montgomery Street","Gayfield Place Lane",32.2,1B,"P025_Leith Route"
"Hailesland Road",Hailesland,"Dumbryden Drive","Murrayburn Road",403.3,1B,P012_Kingsknowe
"Hailesland Road",Hailesland,"Hailesland Gardens","Clovenstone Road",62.81,1B,P011_Wester_Hailes
"Hailesland Road",Hailesland,"Clovenstone Road","Hailesland Gardens",99.39,1B,P012_Kingsknowe
"Hailesland Road",Hailesland,"Hailesland Gardens","Hailesland Gardens",80.41,1B,P012_Kingsknowe
"Hailesland Road",Hailesland,"Hailesland Gardens","Dumbryden Drive",53.73,1B,P012_Kingsknowe
"Hailesland Road",Hailesland,"Murrayburn Park","Hailesland Gardens",159.8,1B,P011_Wester_Hailes
"Hailesland Road",Hailesland,"Murrayburn Road","Murrayburn Park",117.2,1B,P011_Wester_Hailes
"Hall Terrace","Carrick Knowe","End of cul de sac","Corstorphine High Street",25.44,1B,P013_Corstorphine
"Hamilton Drive",Durham,"Hamilton Park","Hamilton Terrace",296.4,1B,P022_Northfield
"Hamilton Drive",Durham,"Mountcastle Drive North","Hamilton Park",64.85,1B,P022_Northfield
"Hamilton Drive West",Durham,"Mountcastle Drive North","Hamilton Gardens",175.3,1B,P022_Northfield
"Hamilton Drive West",Durham,"Hamilton Gardens","End of cul de sac",45.12,1B,P022_Northfield
"Hamilton Place",Stockbridge,"Clarence Street","Saunders Street",242,1B,P027_Stockbridge
"Hamilton Terrace",Durham,"Hamilton Drive","Duddingston Road",138.6,1B,P022_Northfield
"Hampton Place","Wester Coates","Borthwick Place","Carberry Place",35.06,1B,P028_Roseburn
"Hanover Street","New Town","Thistle Street","End of cul de sac",74.65,1A,P001_CityCentreNorth
"Hanover Street","New Town","Thistle Street","Queen Street Gardens East",82.97,1A,P001_CityCentreNorth
"Hanover Street","New Town","George Street","Rose Street",73.7,1A,P001_CityCentreNorth
"Hanover Street","New Town","Rose Street","Princes Street",88.01,1A,P001_CityCentreNorth
"Harewood Road",Niddrie,"Harewood Road","Wauchope Terrace",100.2,1B,P021_Duddingston
"Harrison Road",Polwarth,"Harrison Road","Polwarth Terrace",63.13,1B,P017_Morningside_Bru
"Harrison Road",Polwarth,"Slateford Road","Harrison Road",34.55,1B,P017_Morningside_Bru
"Harrison Road",Polwarth,"Harrison Road","Harrison Gardens",204.9,1B,P017_Morningside_Bru
"Harrison Road",Polwarth,"Harrison Gardens","West Bryson Road",46.08,1B,P017_Morningside_Bru
"Harrison Road",Polwarth,"West Bryson Road","Harrison Road",174,1B,P017_Morningside_Bru
"Harvesters Way",Westerhailes,"Harvesters Way","Harvesters Way",162,1B,P011_Wester_Hailes
"Harvesters Way",Westerhailes,"Barn Park Crescent","Barn Park",31.09,1B,P011_Wester_Hailes
"Harvesters Way",Westerhailes,Greenacre,"Harvesters Way",37.49,1B,P011_Wester_Hailes
"Harvesters Way",Westerhailes,"Harvesters Way","Harvesters Place",41.44,1B,P011_Wester_Hailes
"Harvesters Way",Westerhailes,"Wester Hailes Park","Harvesters Way",223.6,1B,P011_Wester_Hailes
"Harvesters Way",Westerhailes,"Harvesters Way","Barn Park",259.1,1B,P011_Wester_Hailes
"Harvesters Way",Westerhailes,"Clovenstone Road","Barn Park Crescent",29.3,1B,P011_Wester_Hailes
"Harvesters Way",Westerhailes,"Harvesters Place","Harvesters Way",51.87,1B,P011_Wester_Hailes
"Harvesters Way",Westerhailes,"Harvesters Way","Harvesters Way",57.25,1B,P011_Wester_Hailes
"Harvesters Way",Westerhailes,"Harvesters Way","Harvesters Way",73.05,1B,P011_Wester_Hailes
"Harvesters Way",Westerhailes,"Dumbeg Park",Greenacre,151.5,1B,P011_Wester_Hailes
"Harvesters Way",Westerhailes,"Dumbeg Park","Harvesters Way",115.6,1B,P011_Wester_Hailes
"Hawkhill Avenue",Albion,"Lochend Road","Hawkhill Avenue",159.2,1B,P024_Lochend_Restalr
"Hawkhill Avenue",Albion,"Hawkhill Avenue","Albion Place",95.76,1B,P024_Lochend_Restalr
"Hawkhill Avenue",Albion,"Hawkhill Avenue","Hawkhill Avenue",89.11,1B,P024_Lochend_Restalr
"Hawthorn Place","Hyvots Bank","End of cul de sac","Ravenscroft Street",42.77,1A,P004_Inch_Moredun
"Hay Avenue",Niddrie,"Hay Avenue","Hay Avenue",115.6,1B,P021_Duddingston
"Hay Avenue",Niddrie,"Hay Avenue","Hay Avenue",115.3,1B,P021_Duddingston
"Hay Avenue",Niddrie,"Hay Avenue","Niddrie Mains Road",22.84,1B,P021_Duddingston
Haymarket,"New Town","Morrison Street","Clifton Terrace",45.15,1B,P028_Roseburn
"Haymarket Terrace","New Town","Coates Gardens","Magdala Crescent",115.2,1B,P028_Roseburn
"Haymarket Terrace","New Town","Haymarket Yards","Coates Gardens",81.1,1B,P028_Roseburn
"Haymarket Terrace","New Town","Rosebery Crescent","Haymarket Yards",68.03,1B,P028_Roseburn
"Henderson Row",Stockbridge,"East Silvermills Lane","Clarence Street",158.1,1B,P027_Stockbridge
"Henderson Row",Stockbridge,"Eyre Place","East Silvermills Lane",199.4,1B,P027_Stockbridge
"Henderson Street","North Leith","Spier's Place","Henderson Gardens",76.3,1B,"P025_Leith Route"
"Henderson Street","North Leith","St Anthony Place","Spier's Place",62.03,1B,"P025_Leith Route"
"Henderson Street","North Leith","St Anthony Place","St Anthony Street",64.82,1B,"P025_Leith Route"
"Henderson Street","North Leith","St Anthony Street","Great Junction Street",34.83,1B,"P025_Leith Route"
"Henderson Street","North Leith","Giles Street","Tolbooth Wynd",98.13,1B,"P025_Leith Route"
"Henderson Street","North Leith","Giles Street","Giles Street",49.41,1B,"P025_Leith Route"
"Henderson Street","North Leith","Henderson Gardens","Giles Street",35.23,1B,"P025_Leith Route"
"Heriot Bridge",Newington,Grassmarket,"End of cul de sac",79.18,1A,P002_CityCentreSouth
"Hermitage Park",Lochend,"Hermitage Park South","Lochend Road",178.1,1B,P024_Lochend_Restalr
"Hermitage Place",Lochend,"Vanburgh Place","Somerset Place",138.1,1B,P024_Lochend_Restalr
"Hewlett Packard Plant Access Road","South Queensferry","Station Road","Hewlett Packard Plant Access Road",32.29,1B,"P015_South Queensfer"
"High Buckstone",Buckstone,"Buckstone Circle","End of cul de sac",117.8,1A,P005_Fairmilehead
"High Street","South Queensferry","End of cul de sac","Edinburgh Road",131,1B,"P015_South Queensfer"
"High Street","South Queensferry","Hillwood Place","High Street",94.28,1B,"P015_South Queensfer"
"High Street","South Queensferry","High Street","End of cul de sac",58.95,1B,"P015_South Queensfer"
"High Street","South Queensferry","The Loan","Hillwood Place",31.82,1B,"P015_South Queensfer"
"High Street",Kirkliston,"Station Terrace","The Square",105.4,1B,P016_Kirk_Newbdg_Rat
"High Street","Old Town","Parliament Square","Old Fishmarket Close",26.21,1A,P002_CityCentreSouth
"High Street","Old Town","Old Fishmarket Close","Cockburn Street",96.13,1A,P002_CityCentreSouth
"High Street","Old Town","Parliament Square","Parliament Square",106.4,1A,P002_CityCentreSouth
"High Street","Old Town","Niddry Street","Blackfriars Street",59.94,1B,CYC002_CityIR
"High Street","Old Town","Blackfriars Street","St Mary's Street",136.7,1B,CYC002_CityIR
"High Street","Old Town","North Bridge","Niddry Street",20.64,1B,CYC002_CityIR
"High Street","Old Town","Cockburn Street","North Bridge",45.13,1A,P002_CityCentreSouth
"High Street","Old Town","George IV Bridge","Parliament Square",58.28,1A,P002_CityCentreSouth
"Hillend Place",Willowbrae,"Jock's Lodge","Parsons Green Terrace",38.68,1B,P024_Lochend_Restalr
"Hillhouse Road",Corbiehill,"Columba Road","Forthview Terrace",57.8,1B,P020_Blackhall_Craig
"Hillhouse Road",Corbiehill,"House O'hill Avenue","Telford Road",55.46,1B,P020_Blackhall_Craig
"Hillhouse Road",Corbiehill,"Hillhouse Road","Telford Road",92.99,1B,P020_Blackhall_Craig
"Hillhouse Road",Corbiehill,"Hillhouse Road","Strachan Road",91.77,1B,P020_Blackhall_Craig
"Hillhouse Road",Corbiehill,"House O'hill Avenue","Strachan Road",55.24,1B,P020_Blackhall_Craig
"Hillhouse Road",Corbiehill,"Columba Avenue","Hillhouse Road",139.9,1B,P020_Blackhall_Craig
"Hillhouse Road",Corbiehill,"Forthview Terrace","Columba Avenue",139.2,1B,P020_Blackhall_Craig
"Hillhouse Road",Corbiehill,"House O'hill Avenue","Corbiehill Road",333.2,1B,P020_Blackhall_Craig
"Hillhouse Road",Corbiehill,"Marchfield Park","Marchfield Park Lane",257.9,1B,P020_Blackhall_Craig
"Hillhouse Road",Corbiehill,"Marchfield Terrace","Marchfield Park",58.34,1B,P020_Blackhall_Craig
"Hillhouse Road",Corbiehill,"Marchfield Park Lane","Craigcrook Road",68.37,1B,P020_Blackhall_Craig
"Hillhouse Road",Corbiehill,"Corbiehill Road","Marchfield Terrace",138.5,1B,P020_Blackhall_Craig
Hillview,Craigleith,"House O'hill Terrace","Columba Road",49.98,1B,P020_Blackhall_Craig
"Hillview Cottages",Ratho/newbridge,"End of cul de sac","Lumsden Court",86.76,1B,P016_Kirk_Newbdg_Rat
"Hillview Cottages",Ratho/newbridge,"Lumsden Court","Dalmahoy Road",339.2,1B,P016_Kirk_Newbdg_Rat
"Hillwood Road","Ratho Station","Hillwood Rise","End of cul de sac",29.75,1B,P016_Kirk_Newbdg_Rat
"Hillwood Road","Ratho Station","Hillwood Gardens","Hillwood Rise",94.63,1B,P016_Kirk_Newbdg_Rat
"Hillwood Road","Ratho Station","Station Road","Hillwood Gardens",65.54,1B,P016_Kirk_Newbdg_Rat
"Holyrood Park Road",Newington,"Holyrood Park Road","Dalkeith Road",64.08,1B,CYC002_CityIR
"Holyrood Park Road",Newington,"Holyrood Park Road","East Parkside",48.02,1B,CYC002_CityIR
"Holyrood Park Road",Newington,"Holyrood Park Road","Holyrood Park Road",200,1B,CYC002_CityIR
"Holyrood Road","Old Town","Dumbiedykes Road","Holyrood Gait",122,1B,CYC002_CityIR
"Holyrood Road","Old Town","Holyrood Gait","End of cul de sac",73.57,1B,CYC002_CityIR
"Holyrood Road","Old Town","St Mary's Street","Viewcraig Gardens",108.9,1B,CYC002_CityIR
"Holyrood Road","Old Town","Viewcraig Street","Dumbiedykes Road",104.1,1B,CYC002_CityIR
"Holyrood Road","Old Town","St John Street","Viewcraig Street",55.57,1B,CYC002_CityIR
"Holyrood Road","Old Town","Viewcraig Gardens","St John Street",101,1B,CYC002_CityIR
"Home Street",Newington,"Lauriston Place","Home Street",66.63,1B,P017_Morningside_Bru
"Home Street",Newington,"Lauriston Place","Home Street",58.61,1B,P017_Morningside_Bru
"Home Street",Newington,"Home Street","Lochrin Place",66.75,1B,P017_Morningside_Bru
"Home Street",Newington,"Lochrin Place","End of cul de sac",71.42,1B,P017_Morningside_Bru
"Hope Lane","Portobello East","Hope Lane North","Stanley Street",359.1,1B,P023_Portobello
"Hope Lane","Portobello East","Hope Lane","Brand Drive",42.31,1B,P023_Portobello
"Hope Lane","Portobello East","Christian Grove","Hope Lane",64.45,1B,P023_Portobello
"Hope Lane","Portobello East","Stanley Street","Christian Grove",115,1B,P023_Portobello
