"Street name",Locality,From,To,"Section Length (Metres)","Treatment Priority Category","Treatment Route Number"
"Hutchison Medway",Slateford,"Hutchison Medway","Hutchison Avenue",103.4,1B,P029_Gorgie_Slatefor
"Hutchison Medway",Slateford,"Hutchison Place","End of cul de sac",125.1,1B,P029_Gorgie_Slatefor
"Hutchison Place",Slateford,"Hutchison Medway","Slateford Road",79.32,1B,P029_Gorgie_Slatefor
"Hutchison Place",Slateford,"Hutchison Place","Hutchison Medway",75.47,1B,P029_Gorgie_Slatefor
"Hutchison Place",Slateford,"Hutchison Place","Hutchison Avenue",27.04,1B,P029_Gorgie_Slatefor
"Hutchison Place",Slateford,"Hutchison Avenue","Hutchison Place",30.32,1B,P029_Gorgie_Slatefor
"Hutchison Place",Slateford,"Hutchison Place","Hutchison Avenue",35.24,1B,P029_Gorgie_Slatefor
"Hutchison Place",Slateford,"Hutchison Avenue","Hutchison Place",32.48,1B,P029_Gorgie_Slatefor
"Hutchison Road",Slateford,"Moat Drive","Moat Street",86.05,1B,P029_Gorgie_Slatefor
"Hutchison Road",Slateford,"West Gorgie Parks","Hutchison Place",70.03,1B,P029_Gorgie_Slatefor
"Hutchison Road",Slateford,"Hutchison Park","West Gorgie Parks",99.66,1B,P029_Gorgie_Slatefor
"Hutchison Road",Slateford,"Hutchison Loan","New Mart Road",116.7,1B,P029_Gorgie_Slatefor
"Hutchison Road",Slateford,"Moat Street","Hutchison Crossway",148.7,1B,P029_Gorgie_Slatefor
"Hutchison Road",Slateford,"Hutchison Crossway","Hutchison Park",80.82,1B,P029_Gorgie_Slatefor
"Hutchison Road",Slateford,"Hutchison Place","Hutchison Loan",96.58,1B,P029_Gorgie_Slatefor
"Hyvot Loan","Hyvots Bank","Hyvot Loan","Moredun Dykes Road",116.9,1A,P004_Inch_Moredun
