Location,"Reference No",Position
"Bughtlin Drive",12836543,"At 9."
"Bughtlin Drive",12836462,"At 1."
"Bughtlin Gardens",17407157,"opposite no 25 by streetlight BAZ01"
"Bughtlin Gardens",12836720,"On footpath at lighting column BAZ5 between houses 3 and 9."
"Bughtlin Loan",12839378,"At 8."
"Bughtlin Loan",12839282,"At entrance near street sign."
"Bughtlin Park",12839909,"At Maybury Drive."
"Bughtlin Park",12840137,"At lighting column opposite house 104 and at side of house 40."
"Bughtlin Park",12840263,"At lighting column beside house 81."
"Bughtlin Park",12840479,"In recess of brick wall beside house 18."
"Bughtlin Place",12839834,"At lighting column in front 9."
"Bughtlin Place",12839732,"At lighting column in front of house 18."
"Buie Brae, Kirkliston",17406981,"in fornt of no 16"
"Buie Brae, Kirkliston",17406978,"in front of no 41"
"Buie Brae, Kirkliston",17406975,"in front of no 44"
"Burdiehouse Road",12745693,"in front of no 26"
"Burdiehouse Road",17404076,"Opposite 10 Janefield."
"Burgess Road",17442482,"Outside 16, by lighting 77HJ. The Salt Bin was re-located at the suggestion of G.Sangster, Community Representative, South Queensferry."
"Burgess Road",17404079,"On corner opposite primary school."
"Burgess Terrace",11142176,"At lighting column at 3 (off Queens Crescent)."
Burnbrae,12834554,"At lighting column BHX03 on opposite side of road to house 1."
"Burnhead Path West",17404082,"Outside 6."
"Burnside Park",11212940,"in front of no 4"
"Burnside Park",11211866,"in front of no 2"
"Burnside Park",11212991,"Opposite house 25, in middle of lay-by."
"C157 Kirkliston to Burnshot",17407215,"at east entrance of tunnel from C157 under A90 to Riverside Rd. facing bus stop, near streetlight UWC01"
"Cairnmuir Road",11101286,"Opposite 32."
"Cairns Gardens",11209853,"At lighting column 44KT."
"Cairntows Close",17404085,"(Opposite Peffer Place) at lighting column CIS01."
Caiyside,12113209,"At lighting column CAS29, outside house 115."
Caiyside,12113284,"Opposite lighting column CAS23 & house 93."
Caiyside,12113422,"At lighting column CAS8, opposite house 33."
Caiyside,12113470,"At lighting column CAS3, outside house 13."
Caiyside,12186706,"Outside houses 163-165 (off Swanston Road)."
Caiyside,12113806,"On f/way opposite house 75."
"Caiystane Avenue",17404088,"At West Caiystane Road."
"Caiystane Gardens",17404091,"At 51."
"Caiystane Hill",12301705,"At Caiystane Crescent opposite 11."
"Caiystane Hill",17404098,"At house 24."
"Caiystane Hill",17404095,"Opposite house 17."
"Caiystane Hill",17406601,"At lighting column in front of house 11."
"Caiystane Hill",11278161,"At lighting column at bottom of cul-de-sac."
"Caiystane Terrace",10937297,"At lighting column in front of house 31."
"Calder Court",17407374,"In parking area at 2-4."
"Calder Drive",17406836,"facing no 16 Calder Grove, beside car park for nos 12 & 14 Calder Drive"
"Calder Gardens",17404107,"Outside house 47 at sheltered housing."
"Calder Gardens",10773800,"At house 12, outside old people's home."
"Calder Road",17442415,"At 181 at underpass."
"Calder Road",13369351,"by Calder Rd Bankhead Ave roundabout, in front of Renault Dealer, by streetlight CIG 118"
"Calder Road",10771841,"At lighting CIG13, outside 23 Service Road."
"Calder Road",10771148,"By bus shelter close to lighting CIG65, outside 283-291 Service Road."
"Calder Road",8715388,"in laybay near bus shelter, facing 32 Calder View"
"Calder Road",8991996,"On service road against wall at end of subway opposite house 26."
